week,league_name,spread_covered_cat,total_covered_cat,total_cat,draw_cat,draw_result_cat,home_win_last_10_cat,away_win_last_10_cat,game_count
2022-01-10,bundesliga,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-10,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-10,bundesliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,epl,away_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 > .25,1
2022-01-10,epl,away_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-10,epl,home_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-10,epl,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,epl,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-10,epl,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-10,epl,home_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,2
2022-01-10,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,laliga,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-10,ligue1,neither_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,ligue1,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,2
2022-01-10,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-10,ligue1,neither_covered_spread,under_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-10,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-10,seriea,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-10,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-10,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-10,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-10,seriea,neither_covered_spread,under_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-10,seriea,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-10,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-10,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,bundesliga,away_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-01-17,bundesliga,away_covered_spread,over_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-17,bundesliga,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,bundesliga,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,bundesliga,home_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,bundesliga,home_covered_spread,over_covered,3 or more,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,bundesliga,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-17,bundesliga,home_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 < .25,1
2022-01-17,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,epl,away_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-17,epl,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,epl,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,2
2022-01-17,epl,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-17,epl,away_covered_spread,under_covered,less than 3,draw +300 to +500,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .5,away win last 10 < .25,1
2022-01-17,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,epl,home_covered_spread,under_covered,3 or more,draw +300 to +500,draw hit,home win last 10 > .25,away win last 10 > .5,1
2022-01-17,epl,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,2
2022-01-17,epl,home_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,over_covered,3 or more,draw +500 or greater,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,laliga,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-17,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,2
2022-01-17,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-17,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-17,ligue1,neither_covered_spread,over_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-17,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,2
2022-01-17,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-17,ligue1,neither_covered_spread,under_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-17,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-01-17,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .5,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,over_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-17,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-17,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .5,away win last 10 < .25,1
2022-01-31,bundesliga,away_covered_spread,neither_total_hit,other total cat,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,bundesliga,away_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-01-31,bundesliga,away_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 > .25,1
2022-01-31,bundesliga,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,bundesliga,home_covered_spread,over_covered,3 or more,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-31,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-31,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,2
2022-01-31,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-31,laliga,neither_covered_spread,under_covered,less than 3,draw +500 or greater,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-31,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-31,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-31,ligue1,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-31,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-31,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-31,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-31,ligue1,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,ligue1,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 < .25,1
2022-01-31,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-31,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-31,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .5,away win last 10 < .25,1
2022-01-31,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-31,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-31,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-31,seriea,neither_covered_spread,under_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-31,seriea,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-01-31,seriea,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-01-31,seriea,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-31,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-31,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,bundesliga,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-02-07,bundesliga,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,bundesliga,away_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,bundesliga,home_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 < .25,1
2022-02-07,bundesliga,home_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 > .25,1
2022-02-07,bundesliga,home_covered_spread,over_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-02-07,bundesliga,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,bundesliga,home_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,bundesliga,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,epl,away_covered_spread,over_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-02-07,epl,away_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,away_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,epl,away_covered_spread,under_covered,3 or more,draw +300 to +500,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-02-07,epl,away_covered_spread,under_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .5,1
2022-02-07,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .5,away win last 10 < .25,1
2022-02-07,epl,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,epl,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,home_covered_spread,under_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 < .25,away win last 10 > .5,1
2022-02-07,epl,home_covered_spread,under_covered,3 or more,draw +500 or greater,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,home_covered_spread,under_covered,less than 3,draw +300 to +500,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,epl,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,home_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,neither_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,epl,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,epl,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,laliga,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw hit,home win last 10 < .25,away win last 10 > .5,1
2022-02-07,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,2
2022-02-07,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-02-07,laliga,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,laliga,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-02-07,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-02-07,ligue1,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-02-07,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-02-07,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-02-07,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-02-07,ligue1,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .5,away win last 10 > .25,1
